id,category,reviewTag*,linkToRepository,fixed (y/n/m),comment-labels (sorter2),comment-labels (sorter1),comment-labels (agreed),reaction (sorter2),reaction (sorter1),reaction (agreed),resolution-time (ms)
flectra-hq__build-tools__Versioning__requirementstxt__coveralls__missing,Versioning,missing,https://gitlab.com/flectra-hq/build-tools,n,prefer-last-version,,,positive,not-now,positive,
cppit__jucipp__Manual-Job__Clean-appveyor-cache,Manual-Job,NULL,https://gitlab.com/cppit/jucipp,n,optional-job,"temporary-smell, agreement","optional-job, temporary-smell, agreement",not-now,not-now,not-now,
cordite__cordite__Job-Retry__test-nms,Job-Retry,always,https://gitlab.com/cordite/cordite,n,,,,,,,
webmaicon__sorterica__Manual-Job__gera_numero,Manual-Job,NULL,https://gitlab.com/webmaicon/sorterica,n,,,,,,,
Commit451__LabCoat__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,https://gitlab.com/Commit451/LabCoat,n,,,,,,,
backstage-technical-services__laravel-site__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,https://gitlab.com/backstage-technical-services/laravel-site,,,,,,,,
gnukhata__gkcore__Versioning__requirementstxt__sqlalchemy__missing,Versioning,missing,https://gitlab.com/gnukhata/gkcore,n,,,,,,,
aceteam-kaist__ACE-Molecule__Job-Allow-Failure__run-cpplint,Job-Allow-Failure,NULL,https://gitlab.com/aceteam.kaist/ACE-Molecule,n,,,,,,,
juergen-kosel-jk__wireshark__Job-Retry__clang-6,Job-Retry,always,https://gitlab.com/juergen.kosel.jk/wireshark,n,,no-issue-monitoring,,not-now,invalid,invalid,
mailman__postorius__Job-Allow-Failure__git-heads,Job-Allow-Failure,NULL,https://gitlab.com/mailman/postorius,n,,,,,,,
gis23__search_engine__Manual-Job__build_GCR,Manual-Job,NULL,https://gitlab.com/gis23/search_engine,,,,,,,,
districted__web-client__Job-Retry__deploy-staging,Job-Retry,always,https://gitlab.com/districted/web-client,n,,,,,,,
pantomath-io__panto__Job-Retry__docker_tag_stable,Job-Retry,always,https://gitlab.com/pantomath-io/panto,n,,,,,,,
signal9__cpp-env__Manual-Job__build,Manual-Job,NULL,https://gitlab.com/signal9/cpp-env,n,,,,,,,
lu-ci__sigma__apex-sigma__Versioning__requirementstxt__aiml__missing,Versioning,missing,https://gitlab.com/lu-ci/sigma/apex-sigma,,,,,,,,
mataara__Mataara-Server__Job-Allow-Failure__python_lint,Job-Allow-Failure,NULL,https://gitlab.com/mataara/Mataara-Server,n,,,,,,,
noosfero__noosfero__Job-Retry__selenium-4,Job-Retry,always,https://gitlab.com/noosfero/noosfero,n,,,,,,,
