project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
radiognu/PPTLS,radiognu,JavaScript,true,false,false,1,false,false,true,false,16
htgoebel/OSD-Neo2,htgoebel,Python,true,true,false,1,false,false,true,false,16
TXCobalt/TXCobalt.Core,TXCobalt,C#,true,false,false,1,false,true,false,false,11
jbydeley/go-semaphore,jbydeley,Go,true,false,false,1,false,true,false,false,9
jensj/spelltinkle,jensj,Python,true,false,false,1,false,true,false,false,7
rodo/pygcat,rodo,Python,true,false,false,2,false,false,false,false,34
rootcaid/pki-websdk-build,rootcaid,JavaScript,true,false,false,1,false,true,false,false,19
k-chaney/redteam_sd_repo,k-chaney,C++,true,false,false,3,true,true,false,false,42
hallison/git-lighttp,hallison,Ruby,true,false,false,1,false,true,false,false,5
kb/checkout,kb,Python,true,false,false,1,false,true,false,false,8
BlackEdder/ggplotd,BlackEdder,D,true,false,false,1,false,true,false,false,11
RyDroid/PlanetWars2dRT-core,RyDroid,C,true,false,false,1,false,false,false,false,65
kylemanna/nanotest,kylemanna,C,true,false,false,1,false,true,false,false,24
luizmiranda7/easy-router-app,luizmiranda7,JavaScript,true,false,false,1,false,true,false,false,28
fast_pixelated_detectors/merlin_interface,fast_pixelated_detectors,Python,true,false,false,2,false,true,true,false,52
fast_pixelated_detectors/fpd_live_imaging,fast_pixelated_detectors,Python,true,false,false,2,false,true,true,false,63
juliancarrivick/band-manager-frontend,juliancarrivick,TypeScript,true,false,false,2,false,true,false,false,34
arose/dokuwiki-userprofile-plugin,arose,PHP,true,false,false,1,false,true,false,false,21
rbertoncelj/wildfly-singleton-service,rbertoncelj,Java,true,false,true,1,false,true,false,false,3
ogre3d/clean-project,ogre3d,C++,true,false,false,1,false,true,false,false,11
hotoo/gitlab-notifications,hotoo,JavaScript,true,false,false,1,false,true,false,false,10
shashankchakelam/NamoDB,shashankchakelam,Python,true,false,false,4,false,false,false,false,82
GoatGames/GoatEngine,GoatGames,Java,true,false,false,1,false,true,false,false,16
aatos/rust-ping,aatos,Rust,true,false,false,1,false,true,false,false,11
worr/rcstring,worr,Rust,true,false,false,1,false,true,false,false,9
phunehehe/runix,phunehehe,Nix,true,false,false,1,false,true,false,false,3
wesleyceraso/linlib,wesleyceraso,C++,true,false,false,1,true,false,false,false,11
jangorecki/big.data.table,jangorecki,R,true,false,false,1,false,true,false,false,33
hylcos/InChat,hylcos,C,true,false,false,1,false,true,false,false,6
wildan-anky/PMPL_Wildan,wildan-anky,Python,true,true,false,1,false,true,false,false,16
sane-project/ci-envs,sane-project,Makefile,true,false,false,1,true,false,false,false,38
axil/phantomjs-debian,axil,JavaScript,true,false,false,1,false,true,false,false,11
wahyuoi/Quiz3,wahyuoi,Python,true,false,false,1,false,true,false,false,5
fa13/build,fa13,Java,true,false,false,1,true,false,false,false,59
craigbarnes/tally,craigbarnes,C,true,false,false,1,false,true,false,false,15
jubianchi/hubot-gitlab-ops,jubianchi,CSS,true,false,false,2,false,false,false,false,23
sgimeno/angularjs-gulp-browserify-boilerplate,sgimeno,JavaScript,true,false,false,1,false,true,false,false,35
lummei/libfasta,lummei,C,true,false,false,1,true,false,false,false,13
sytses/sytses.gitlab.io,sytses,CSS,true,false,false,2,false,true,true,false,28
cerebralpower/Variance,cerebralpower,Python,true,false,false,1,false,true,false,false,8
baldurmen/rename-flac,baldurmen,Python,true,false,false,3,true,true,false,false,33
unplugstudio/mezzy,unplugstudio,Python,true,false,false,1,false,true,false,false,39
osasto-kuikka/kge,osasto-kuikka,C++,true,false,false,2,false,true,false,true,40
thelabnyc/ci,thelabnyc,Go,true,false,false,1,false,true,false,false,97
joaosilva2095/dotfiles,joaosilva2095,Vimscript,true,false,false,1,false,true,false,false,8
gitlab-com/gitlab-contributors,gitlab-com,Ruby,true,false,false,1,false,true,false,false,42
signal9/cpp-skeleton,signal9,Meson,true,false,false,2,true,true,false,false,23
mdsnouck/NodeStartApp,mdsnouck,JavaScript,true,false,false,1,false,true,false,false,6
mdsnouck/SMSmessageParty,mdsnouck,JavaScript,true,false,false,1,false,true,false,false,6
nany-lang/nanyc,nany-lang,C++,true,false,false,3,true,false,false,false,116
gnutls/nettle,gnutls,C,true,false,false,1,false,true,false,false,163
connorshea/connorshea.gitlab.io,connorshea,CSS,true,false,false,3,true,true,true,false,45
waylon531/waylos,waylon531,Rust,true,false,false,1,false,true,false,false,7
twittner/redis-resp,twittner,Haskell,true,false,false,1,false,true,false,false,29
bindslabteam/projecteyeframe,bindslabteam,Java,true,false,false,1,false,true,false,false,16
twittner/wai-routing,twittner,Haskell,true,false,false,1,false,true,false,false,25
Rich-Harris/stacking-order,Rich-Harris,JavaScript,true,false,false,1,false,true,false,false,10
bgrolleman/puppet,bgrolleman,Puppet,true,false,false,1,false,false,false,false,25
mayan-edms/cookiecutter-mayan,mayan-edms,Python,true,false,false,1,false,true,false,false,5
jangorecki/r.pkg.gitlab.ci,jangorecki,R,true,false,false,1,false,true,false,false,20
jangorecki/dockerfiles,jangorecki,,true,false,false,3,false,true,false,false,53
agilob/qfiction,agilob,C++,true,false,false,1,false,true,false,false,8
sorenmat/botbrother,sorenmat,Go,true,false,false,2,true,true,false,false,46
timrs2998/umd-nlp-question-answering,timrs2998,Perl,true,false,false,1,true,false,false,false,25
wayless/wayless,wayless,Rust,true,false,false,2,true,true,false,false,44
wyago/mantra,wyago,C#,true,false,false,1,false,false,true,false,11
chamilotools/chamilotools,chamilotools,Python,true,true,false,1,false,true,false,false,18
LukBukkit/XWeb,LukBukkit,Java,true,false,true,1,false,true,false,false,9
perobertson/requisition,perobertson,Ruby,true,false,false,3,true,true,true,false,137
perobertson/dotfiles,perobertson,Vimscript,true,false,false,2,false,true,true,false,69
iyulab/iyulab.gitlab.io,iyulab,CSS,true,false,false,1,false,false,true,false,9
bmcallis/library-skeleton,bmcallis,JavaScript,true,false,false,1,false,true,false,false,7
HackerSir/VSDK,HackerSir,PHP,true,false,false,2,false,true,true,false,103
cabargas/cabargas.gitlab.io,cabargas,JavaScript,true,false,false,1,false,false,true,false,12
jekyll-themes/carte-noire,jekyll-themes,CSS,true,false,false,1,false,false,true,false,18
ottonello/gossipDemo,ottonello,Go,true,false,false,1,true,false,false,false,29
chriseaton/recaptcha,chriseaton,Go,true,false,false,1,true,false,false,false,37
tem_leonov/FluentMailer,tem_leonov,C#,true,false,false,2,false,true,false,true,55
VeraKolotyuk/hexo_examples,VeraKolotyuk,CSS,true,false,false,1,false,true,false,false,20
pages/harp,pages,CSS,true,false,false,1,false,true,false,false,15
l214/msender,l214,JavaScript,true,false,false,1,false,true,false,false,17
dgriffen/iron_session,dgriffen,Rust,true,false,false,1,false,true,false,false,9
frntn/docker-cloud9,frntn,,true,false,false,2,true,true,false,false,18
cky/emojisweeper,cky,Clojure,true,false,false,1,false,true,false,false,9
themes-templates/hexo,themes-templates,CSS,true,false,false,2,false,true,true,false,51
ajm113/pixelHell,ajm113,C,true,false,false,1,false,true,false,false,5
en15for/gitlabr,en15for,R,true,false,false,5,true,true,false,false,58
european-data-portal/licensing-assistant,european-data-portal,HTML,true,false,true,1,false,false,true,false,4
jberkel/digero,jberkel,Java,true,false,false,1,false,true,false,false,9
pwoolcoc/cmudict,pwoolcoc,Rust,true,false,false,1,false,true,false,false,14
jasperdenkers/play-scala-heroku-sample-app,jasperdenkers,Scala,true,false,false,2,false,true,true,false,26
sbatman/Sbatman.Networking,sbatman,C#,true,false,false,2,true,false,false,true,32
eitelkalk/Recown,eitelkalk,Java,true,false,false,1,false,false,true,false,36
AngeloStavrow/gitlab-ci-for-ios-projects,AngeloStavrow,Swift,true,false,false,2,true,false,false,false,25
themes-templates/hyde,themes-templates,HTML,true,false,false,2,false,true,true,false,44
padouppadoup/paris-agreement,padouppadoup,JavaScript,true,false,false,1,false,false,true,false,11
tiago.dias/btc-stats,tiago.dias,JavaScript,true,false,false,1,false,false,true,false,9
pantacor/pantahub-base,pantacor,Go,true,false,false,2,true,false,true,false,100
ismail-s/cis194-homework,ismail-s,Haskell,true,false,false,1,false,true,false,false,8
HackLabCormano/hacklabcormano.it,HackLabCormano,TeX,true,false,false,1,false,true,false,false,33
vikserver/vikserver-backend,vikserver,JavaScript,true,false,false,3,true,true,false,false,136
twittner/cql,twittner,Haskell,true,false,false,1,false,true,false,false,40
twittner/tinylog,twittner,Haskell,true,false,false,1,false,true,false,false,30
melkorm/php-testing,melkorm,PHP,true,false,false,2,false,true,true,false,45
themes-templates/lektor,themes-templates,HTML,true,false,false,1,false,true,false,false,15
