repo,category,subcategory,location,manual validation,match with cd-linter,Entity,Reason
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L633,YES,YES,QA-Tag,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L649,YES,YES,upgrade,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L662,YES,YES,license-upload,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L681,YES,YES,HA-Validate-Tagged,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,,YES,YES,AWS-Ultimate,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,,YES,YES,AWS,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Allow-Failure,,,YES,YES,AWS-Premium,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/gitlab-com.yml#L251,YES,YES,update-knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L285,YES,YES,Docker-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L318,YES,YES,QA-Master,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L373,YES,YES,Docker-QA,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L495,YES,YES,Docker,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L640,YES,YES,QA-Tag,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,AWS,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,AWS-Premium,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,AWS-Ultimate,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Centos 6 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Centos 7 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Centos 8 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-6,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-6-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-6-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-6-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-7,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-7-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-7-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-7-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-8,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-8-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-8-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,CentOS-8-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian 10 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian 8 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian 9 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-10,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-10-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-10-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-10-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-8,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-8-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-8-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-8-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-9,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-9-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-9-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Debian-9-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Docker,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,OpenSUSE 15.1 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,OpenSUSE-15.1,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,OpenSUSE-15.1-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,OpenSUSE-15.1-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,OpenSUSE-15.1-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Raspberry-Pi-2-Stretch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Raspberry-Pi-2-Stretch-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Raspberry-Pi-2-Stretch-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,SLES-12,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,SLES-12-branch,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,SLES-12-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,SLES-12-staging,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Ubuntu 16.04 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Ubuntu 18.04 knapsack,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Ubuntu-16.04-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Job-Retry,,,YES,YES,Ubuntu-18.04-release,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/gitlab-com.yml#L307,YES,YES,Trigger:measure-memory:,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/gitlab-com.yml#L337,YES,YES,Trigger:ha-validate,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L501,YES,VALIDATOR,Docker-measure-memory,it contains docker in the name
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L650,YES,YES,upgrade,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,https://gitlab.com/gitlab-org/omnibus-gitlab/-/blob/master/gitlab-ci-config/dev-gitlab-org.yml#L663,YES,YES,license-upload,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,,YES,YES,Trigger:ha-validate,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,,YES,YES,Trigger:ce-package,
https://gitlab.com/gitlab-org/omnibus-gitlab,Manual-Job,,,YES,YES,Trigger:ee-package,
https://gitlab.com/MrWildcard/a-nice-app,Versioning,No Version,https://gitlab.com/MrWildcard/a-nice-app/-/blob/develop/.gitlab-ci.yml#L40,YES,YES,pip install awscli,it behaves correctly here (the project was not scheduled for linting)
https://gitlab.com/MrWildcard/a-nice-app,Versioning,No Version,https://gitlab.com/MrWildcard/a-nice-app/-/blob/develop/.gitlab-ci.yml#L52,YES,YES,pip install awscli,it behaves correctly here (the project was not scheduled for linting)
https://gitlab.com/MrWildcard/a-nice-app,Versioning,No Version,https://gitlab.com/MrWildcard/a-nice-app/-/blob/develop/.gitlab-ci.yml#L64,YES,YES,pip install awscli,it behaves correctly here (the project was not scheduled for linting)
https://gitlab.com/rodo/pg_tools,Versioning,No Version,https://gitlab.com/rodo/pg_tools/-/blob/master/pgstat/requirements.pip#L2,YES,VALIDATOR,anosql,it's not the txt
