project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage
TXCobalt/TXCobalt.Core,TXCobalt,C#,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
jbydeley/go-semaphore,jbydeley,Go,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
jensj/spelltinkle,jensj,Python,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
rodo/pygcat,rodo,Python,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE
rootcaid/pki-websdk-build,rootcaid,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
k-chaney/redteam_sd_repo,k-chaney,C++,TRUE,FALSE,FALSE,3,TRUE,TRUE,FALSE,FALSE
hallison/git-lighttp,hallison,Ruby,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
kb/checkout,kb,Python,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
BlackEdder/ggplotd,BlackEdder,D,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
RyDroid/PlanetWars2dRT-core,RyDroid,C,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
kylemanna/nanotest,kylemanna,C,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
luizmiranda7/easy-router-app,luizmiranda7,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
fast_pixelated_detectors/merlin_interface,fast_pixelated_detectors,Python,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
fast_pixelated_detectors/fpd_live_imaging,fast_pixelated_detectors,Python,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
juliancarrivick/band-manager-frontend,juliancarrivick,TypeScript,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE
arose/dokuwiki-userprofile-plugin,arose,PHP,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
rbertoncelj/wildfly-singleton-service,rbertoncelj,Java,TRUE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
ogre3d/clean-project,ogre3d,C++,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
hotoo/gitlab-notifications,hotoo,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
